URL,Image URL,Name,Debut Date,Member of,Fan Name,Birthday,Height,English
https://hololive.wiki/wiki/Tokino_Sora,https://static.miraheze.org/hololivewiki/thumb/7/74/Tokino_Sora_-_Main_Page_Icon.png/96px-Tokino_Sora_-_Main_Page_Icon.png,Tokino Sora,"September 7, 2017 (YouTube)",hololive Generation 0,"Sora-tomo (), or Sora's Pals",May 15,160cm (5ft3in),Soda Daisenpai Goddess
https://hololive.wiki/wiki/Roboco,https://static.miraheze.org/hololivewiki/thumb/6/60/Roboco_-_Main_Page_Icon.png/96px-Roboco_-_Main_Page_Icon.png,"Roboco
Roboco San","March 4, 2018 (YouTube)",hololive Generation 0,"Robosa (), from
""Robot Circle,"" or ""Robotics Club""",May 23,154cm (5ft),
https://hololive.wiki/wiki/AZKi,https://static.miraheze.org/hololivewiki/thumb/5/5e/AZKi_-_Main_Page_Icon.png/96px-AZKi_-_Main_Page_Icon.png,AZKi,"November 15, 2018","hololive Generation 0,
INNK Music (formerly)","Pioneer, or Kaitakusha ()",July 1,"158cm (5ft2in)[9]
With heels:
170cm (5ft7in) (1st model)[10]
168cm (5ft6in) (1st & 4th models)[11][12]
165cm (5ft4in) (2nd model)[11]
163cm (5ft3in) (3rd model)[11]",
https://hololive.wiki/wiki/Sakura_Miko,https://static.miraheze.org/hololivewiki/thumb/9/96/Sakura_Miko_-_Main_Page_Icon.png/96px-Sakura_Miko_-_Main_Page_Icon.png,Sakura Miko,"August 1, 2018 (YouTube)
May 7, 2019 (bilibili)
December 2, 2020 (Twitch)",hololive Generation 0,"35P, read as ""Miko-P"" ()",March 5,152cm,Mikochi
https://hololive.wiki/wiki/Hoshimachi_Suisei,https://static.miraheze.org/hololivewiki/thumb/f/f2/Hoshimachi_Suisei_-_Main_Page_Icon.png/96px-Hoshimachi_Suisei_-_Main_Page_Icon.png,"Hoshimachi Suisei
Hosimati Suisei","March 22, 2018 (YouTube)","hololive Generation 0,
INNK Music (formerly)","Stargazers
( Hoshiyomi)
Kometomo (formerly)",March 22,160cm (5ft3in),Sui-chan
https://hololive.wiki/wiki/Shirakami_Fubuki,https://static.miraheze.org/hololivewiki/thumb/1/1b/Shirakami_Fubuki_-_Main_Page_Icon.png/96px-Shirakami_Fubuki_-_Main_Page_Icon.png,Shirakami Fubuki,"June 1, 2018 (YouTube)
February 2, 2019 (bilibili)","hololive 1st Gen,
Hololive GAMERS","Sukonbu (, Su-corn) /
Friends",October 05,"155cm
160cm (including her cowlick)","Friend[12], FBK, Fox Burger King[13],
Waifriend[14], Foobs, Scatman[15],
Meme Queen, Cat, Alien"
https://hololive.wiki/wiki/Natsuiro_Matsuri,https://static.miraheze.org/hololivewiki/thumb/d/d9/Natsuiro_Matsuri_-_Main_Page_Icon.png/96px-Natsuiro_Matsuri_-_Main_Page_Icon.png,Natsuiro Matsuri,"June 1, 2018 (YouTube)",hololive 1st Gen,"Matsurisu (), represented
by squirrels (""risu"", in Japanese)",July 22,152cm,God
https://hololive.wiki/wiki/Aki_Rosenthal,https://static.miraheze.org/hololivewiki/thumb/f/f7/Aki_Rosenthal_-_Main_Page_Icon.png/96px-Aki_Rosenthal_-_Main_Page_Icon.png,Aki Rosenthal,"June 01, 2018 (Mirrativ)
June 07, 2018 (YouTube)
May 03, 2019 (bilibili)",hololive 1st Gen,"Squad Rose
( Rose-tai)",February 17,162cm,AkiRose
https://hololive.wiki/wiki/Akai_Haato,https://static.miraheze.org/hololivewiki/thumb/5/50/Akai_Haato_-_Main_Page_Icon.png/96px-Akai_Haato_-_Main_Page_Icon.png,Akai Haato,"June 2, 2018 (YouTube)
January 28, 2019 (bilibili)",hololive 1st Gen,Haaton (),August 10,154cm,Haachama
https://hololive.wiki/wiki/Minato_Aqua,https://static.miraheze.org/hololivewiki/thumb/5/57/Minato_Aqua_-_Main_Page_Icon.png/96px-Minato_Aqua_-_Main_Page_Icon.png,Minato Aqua,"August 8, 2018 (YouTube)",hololive 2nd Gen,Aqua Crew (),December 01st,148cm,"Onion, Baqua"
https://hololive.wiki/wiki/Murasaki_Shion,https://static.miraheze.org/hololivewiki/thumb/4/4d/Murasaki_Shion_-_Main_Page_Icon.png/96px-Murasaki_Shion_-_Main_Page_Icon.png,Murasaki Shion,"August 17, 2018 (YouTube)",hololive 2nd Gen,Shio-ldren[12] / Shiokko (),December 8,145cm,"Kusogaki, Garlic"
https://hololive.wiki/wiki/Nakiri_Ayame,https://static.miraheze.org/hololivewiki/thumb/0/05/Nakiri_Ayame_-_Main_Page_Icon.png/96px-Nakiri_Ayame_-_Main_Page_Icon.png,Nakiri Ayame,"September 3, 2018 (YouTube)",hololive 2nd Gen,Nakiri Gang[13] / Nakiri-gumi (),December 13,152cm,Ojou
https://hololive.wiki/wiki/Yuzuki_Choco,https://static.miraheze.org/hololivewiki/thumb/6/69/Yuzuki_Choco_-_Main_Page_Icon.png/96px-Yuzuki_Choco_-_Main_Page_Icon.png,Yuzuki Choco,"September 4, 2018 (YouTube)",hololive 2nd Gen,Choco Mate (),February 14,165cm,"Choco-sensei, Choco-san"
https://hololive.wiki/wiki/Oozora_Subaru,https://static.miraheze.org/hololivewiki/thumb/5/52/Oozora_Subaru_-_Main_Page_Icon.png/96px-Oozora_Subaru_-_Main_Page_Icon.png,Oozora Subaru,"September 16, 2018 (YouTube)",hololive 2nd Gen,Suba-tomo () / Subafriends[11],July 2,154cm,
https://hololive.wiki/wiki/Shirakami_Fubuki,https://static.miraheze.org/hololivewiki/thumb/1/1b/Shirakami_Fubuki_-_Main_Page_Icon.png/96px-Shirakami_Fubuki_-_Main_Page_Icon.png,Shirakami Fubuki,"June 1, 2018 (YouTube)
February 2, 2019 (bilibili)","hololive 1st Gen,
Hololive GAMERS","Sukonbu (, Su-corn) /
Friends",October 05,"155cm
160cm (including her cowlick)","Friend[12], FBK, Fox Burger King[13],
Waifriend[14], Foobs, Scatman[15],
Meme Queen, Cat, Alien"
https://hololive.wiki/wiki/Ookami_Mio,https://static.miraheze.org/hololivewiki/thumb/1/1d/Ookami_Mio_-_Main_Page_Icon.png/96px-Ookami_Mio_-_Main_Page_Icon.png,Ookami Mio,"December 7, 2018 (YouTube)",Hololive GAMERS,"Mio-fam (abbrev. of Mio Family)
( ())",August 20,"165cm
(excluding ears, including heels)","Miosha, Mio Mama"
https://hololive.wiki/wiki/Nekomata_Okayu,https://static.miraheze.org/hololivewiki/thumb/5/53/Nekomata_Okayu_-_Main_Page_Icon.png/96px-Nekomata_Okayu_-_Main_Page_Icon.png,Nekomata Okayu,"April 6, 2019 (YouTube)",Hololive GAMERS,Onigiris[10] / Onigiryaa (),February 22,152cm (excluding cowlick),"Okayun, Okazu"
https://hololive.wiki/wiki/Inugami_Korone,https://static.miraheze.org/hololivewiki/thumb/2/21/Inugami_Korone_-_Main_Page_Icon.png/96px-Inugami_Korone_-_Main_Page_Icon.png,Inugami Korone,"April 13, 2019 (YouTube)",Hololive GAMERS,Koronesuki (),October 01,156cm,Koro-san
https://hololive.wiki/wiki/Usada_Pekora,https://static.miraheze.org/hololivewiki/thumb/f/fd/Usada_Pekora_-_Main_Page_Icon.png/96px-Usada_Pekora_-_Main_Page_Icon.png,Usada Pekora,"July 17, 2019 (YouTube)",Hololive Fantasy,"The Rabbit Alliance[11]
League of the Hare Alliance
( Nousagi domei)",January 12,153cm (not including ears),"Peko-chan, Shachou, War Criminal, Comedian"
https://hololive.wiki/wiki/Shiranui_Flare,https://static.miraheze.org/hololivewiki/thumb/4/45/Shiranui_Flare_-_Main_Page_Icon.png/96px-Shiranui_Flare_-_Main_Page_Icon.png,Shiranui Flare,"August 7, 2019 (YouTube)
October 25, 2019 (bilibili)",Hololive Fantasy,Elfriend (),"April 2, 1798[11]",158cm,Fu-tan
https://hololive.wiki/wiki/Shirogane_Noel,https://static.miraheze.org/hololivewiki/thumb/3/39/Shirogane_Noel_-_Main_Page_Icon.png/96px-Shirogane_Noel_-_Main_Page_Icon.png,Shirogane Noel,"August 8, 2019 (YouTube)
September 29, 2019 (bilibili)",Hololive Fantasy,"Knight's Order of Shirogane
()",November 24,158cm,Danchou
https://hololive.wiki/wiki/Houshou_Marine,https://static.miraheze.org/hololivewiki/thumb/4/43/Houshou_Marine_-_Main_Page_Icon.png/96px-Houshou_Marine_-_Main_Page_Icon.png,Houshou Marine,"August 11, 2019 (YouTube)",Hololive Fantasy,"Houshou no Ichimi
(Houshous Pirate Crew,
)",July 30,150cm,"Senchou, Maririn"
https://hololive.wiki/wiki/Amane_Kanata,https://static.miraheze.org/hololivewiki/thumb/b/b7/Amane_Kanata_-_Main_Page_Icon.png/96px-Amane_Kanata_-_Main_Page_Icon.png,Amane Kanata,"December 27, 2019",hololive 4th Gen,Hei-min (),April 22,149cm,"Kanatan, PPT, Gorilla"
https://hololive.wiki/wiki/Tsunomaki_Watame,https://static.miraheze.org/hololivewiki/thumb/5/55/Tsunomaki_Watame_-_Main_Page_Icon.png/96px-Tsunomaki_Watame_-_Main_Page_Icon.png,Tsunomaki Watame,"December 29, 2019",hololive 4th Gen,Wata-mates (),June 06,151cm,"Wataojii (Old man Watame), Watamelon"
https://hololive.wiki/wiki/Tokoyami_Towa,https://static.miraheze.org/hololivewiki/thumb/4/41/Tokoyami_Towa_-_Main_Page_Icon.png/96px-Tokoyami_Towa_-_Main_Page_Icon.png,Tokoyami Towa,"January 3, 2020 (YouTube)",hololive 4th Gen,"Tokoyami Family
( Tokoyami Kenzoku),
TowaFam[11]",August 8,150cm,"Towa-sama, TMT"
https://hololive.wiki/wiki/Himemori_Luna,https://static.miraheze.org/hololivewiki/thumb/8/8a/Himemori_Luna_-_Main_Page_Icon.png/96px-Himemori_Luna_-_Main_Page_Icon.png,Himemori Luna,"January 04, 2020",hololive 4th Gen,Lu-knight (),October 10,"150cm (with crown and shoes)
140cm (without crown and shoes)","Luna-hime (Princess Luna), Hime (princess), Luna-tan"
https://hololive.wiki/wiki/Yukihana_Lamy,https://static.miraheze.org/hololivewiki/thumb/8/83/Yukihana_Lamy_-_Main_Page_Icon.png/96px-Yukihana_Lamy_-_Main_Page_Icon.png,Yukihana Lamy,"August 12, 2020 (YouTube)",hololive 5th Gen,Yukimin (),November 15[9],158cm[10],Wamy
https://hololive.wiki/wiki/Momosuzu_Nene,https://static.miraheze.org/hololivewiki/thumb/6/62/Momosuzu_Nene_-_Main_Page_Icon.png/96px-Momosuzu_Nene_-_Main_Page_Icon.png,Momosuzu Nene,"August 13, 2020 (YouTube)",hololive 5th Gen,"Nekko (),
Husbands (or Wives)[8]",March 2,159cm[9],"Nenechi, Seal"
https://hololive.wiki/wiki/Shishiro_Botan,https://static.miraheze.org/hololivewiki/thumb/3/3d/Shishiro_Botan_-_Main_Page_Icon.png/96px-Shishiro_Botan_-_Main_Page_Icon.png,Shishiro Botan,"August 14, 2020 (YouTube)",hololive 5th Gen," (Bo-dan) (former)
SSRB (current)",September 8[5],166cm[6],Shishiron
https://hololive.wiki/wiki/Omaru_Polka,https://static.miraheze.org/hololivewiki/thumb/6/63/Omaru_Polka_-_Main_Page_Icon.png/96px-Omaru_Polka_-_Main_Page_Icon.png,Omaru Polka,"August 16, 2020 (YouTube)",hololive 5th Gen,Omaru Troupe / Omaru-za (),January 30[10],153cm[11],"Omarun, POLMAO"
https://hololive.wiki/wiki/La%2B_Darknesss,https://static.miraheze.org/hololivewiki/thumb/f/f8/Laplus_Darknesss_-_Main_Page_Icon.png/96px-Laplus_Darknesss_-_Main_Page_Icon.png,La+ Darknesss,"November 26, 2021 (YouTube)",Secret Society holoX,Plusmate (),May 25,139cm,"Yamada, YMD"
https://hololive.wiki/wiki/Takane_Lui,https://static.miraheze.org/hololivewiki/thumb/3/37/Takane_Lui_-_Main_Page_Icon.png/96px-Takane_Lui_-_Main_Page_Icon.png,Takane Lui,"November 27th, 2021 (YouTube)",Secret Society holoX,Lui-tomo (),June 11,161cm,"Lui-nee, Luilui, Kanbu (executive)"
https://hololive.wiki/wiki/Hakui_Koyori,https://static.miraheze.org/hololivewiki/thumb/5/58/Hakui_Koyori_-_Main_Page_Icon.png/96px-Hakui_Koyori_-_Main_Page_Icon.png,Hakui Koyori,"November 28th, 2021 (YouTube)",Secret Society holoX,Koyori's assistants (),March 15,153cm,
https://hololive.wiki/wiki/Sakamata_Chloe,https://static.miraheze.org/hololivewiki/thumb/c/c6/Sakamata_Chloe_-_Main_Page_Icon.png/96px-Sakamata_Chloe_-_Main_Page_Icon.png,Sakamata Chloe,"November 29th, 2021 (YouTube)",Secret Society holoX,"Zookeepers
(Shiikuin-san, )",May 18,148cm,
https://hololive.wiki/wiki/Kazama_Iroha,https://static.miraheze.org/hololivewiki/thumb/5/5c/Kazama_Iroha_-_Main_Page_Icon.png/96px-Kazama_Iroha_-_Main_Page_Icon.png,Kazama Iroha,"November 30th, 2021 (YouTube)",Secret Society holoX,Kazama-tai(),June 18,156cm,Ninja
https://hololive.wiki/wiki/Ayunda_Risu,https://static.miraheze.org/hololivewiki/thumb/d/d9/Ayunda_Risu_-_Main_Page_Icon.png/96px-Ayunda_Risu_-_Main_Page_Icon.png,Ayunda Risu,"April 10, 2020",hololive Indonesia 1st Gen,Risuners,January 15,153cm,
https://hololive.wiki/wiki/Moona_Hoshinova,https://static.miraheze.org/hololivewiki/thumb/5/5b/Moona_Hoshinova_-_Main_Page_Icon.png/96px-Moona_Hoshinova_-_Main_Page_Icon.png,Moona Hoshinova,"April 11, 2020",hololive Indonesia 1st Gen,Moonafic,February 15,165cm,
https://hololive.wiki/wiki/Airani_Iofifteen,https://static.miraheze.org/hololivewiki/thumb/7/71/Airani_Iofifteen_-_Main_Page_Icon.png/96px-Airani_Iofifteen_-_Main_Page_Icon.png,Airani Iofifteen,"April 12, 2020",hololive Indonesia 1st Gen,IOFORIA,July 15,150cm,"Yopi, Erofi"
https://hololive.wiki/wiki/Kureiji_Ollie,https://static.miraheze.org/hololivewiki/thumb/a/a8/Kureiji_Ollie_-_Main_Page_Icon.png/96px-Kureiji_Ollie_-_Main_Page_Icon.png,Kureiji Ollie,"December 4, 2020 (YouTube)",hololive Indonesia 2nd Gen,Zomrade,October 13,162cm,
https://hololive.wiki/wiki/Anya_Melfissa,https://static.miraheze.org/hololivewiki/thumb/d/dd/Anya_Melfissa_-_Main_Page_Icon.png/96px-Anya_Melfissa_-_Main_Page_Icon.png,Anya Melfissa,"December 5, 2020 (YouTube)",hololive Indonesia 2nd Gen,Melfriends,March 12,147cm,
https://hololive.wiki/wiki/Pavolia_Reine,https://static.miraheze.org/hololivewiki/thumb/1/15/Pavolia_Reine_-_Main_Page_Icon.png/96px-Pavolia_Reine_-_Main_Page_Icon.png,Pavolia Reine,"December 6, 2020 (YouTube)",hololive Indonesia 2nd Gen,Merakyats,September 9,172cm,"Turkey, Weine"
https://hololive.wiki/wiki/Vestia_Zeta,https://static.miraheze.org/hololivewiki/thumb/b/b1/Vestia_Zeta_-_Main_Page_Icon.png/96px-Vestia_Zeta_-_Main_Page_Icon.png,Vestia Zeta,"March 25, 2022 (YouTube)",hololive Indonesia 3rd Gen,Zecretary,November 7,155 cm,Cat
